Algorithm Name,Array Size,Array Source,Number of Runs,Avg Runtime (ns),Min Runtime (ns),Max Runtime (ns),Comparisons,Interchanges
Bubble Sort,1000,nearly_sorted.txt,5,9345380,6615900,18763300,499500,34274
Heap Sort,1000,nearly_sorted.txt,5,550100,503800,697900,17500,9658
Insertion Sort,1000,nearly_sorted.txt,5,1933860,709000,3659200,35273,34274
Merge Sort,1000,nearly_sorted.txt,5,1158680,528600,1996100,7643,9976
Quick Sort,1000,nearly_sorted.txt,5,801580,343300,2584100,20706,7273
Selection Sort,1000,nearly_sorted.txt,5,6921080,6097600,9819800,499500,999
Bubble Sort,100,reverse_small.txt,5,15620,14400,19900,4950,4950
Heap Sort,100,reverse_small.txt,5,21880,16000,38700,944,516
Insertion Sort,100,reverse_small.txt,5,892220,90400,2926100,5049,4950
Merge Sort,100,reverse_small.txt,5,35000,9000,91100,316,672
Quick Sort,100,reverse_small.txt,5,26060,15700,61900,4950,2549
Selection Sort,100,reverse_small.txt,5,127300,73600,179100,4950,99
Bubble Sort,5000,reverse_large.txt,5,36325380,35290100,38281900,12497500,12497500
Heap Sort,5000,reverse_large.txt,5,1262680,1246200,1271600,103227,53436
Insertion Sort,5000,reverse_large.txt,5,25474740,17863800,54165200,12502499,12497500
Merge Sort,5000,reverse_large.txt,5,17048540,2098300,71351000,29804,61808
Quick Sort,5000,reverse_large.txt,5,36555740,34200500,39663300,12497500,6252499
Selection Sort,5000,reverse_large.txt,5,15638500,15089100,16146800,12497500,4999
Bubble Sort,1000,reverse_medium.txt,5,1904060,1546300,2634400,499500,499500
Heap Sort,1000,reverse_medium.txt,5,295500,243600,411800,15965,8316
Insertion Sort,1000,reverse_medium.txt,5,768580,713100,837000,500499,499500
Merge Sort,1000,reverse_medium.txt,5,554180,281600,1302200,4932,9976
Quick Sort,1000,reverse_medium.txt,5,1574500,1432300,1908200,499500,250499
Selection Sort,1000,reverse_medium.txt,5,663520,651400,677900,499500,999
Bubble Sort,100,random_small.txt,5,16320,10800,28700,4950,2441
Heap Sort,100,random_small.txt,5,22280,18200,26600,1026,582
Insertion Sort,100,random_small.txt,5,5020,4500,6700,2540,2441
Merge Sort,100,random_small.txt,5,140200,25000,325900,534,672
Quick Sort,100,random_small.txt,5,11720,3400,41700,652,362
Selection Sort,100,random_small.txt,5,10300,8200,15400,4950,99
Bubble Sort,5000,random_large.txt,5,33425840,33239300,33614700,12497500,6252450
Heap Sort,5000,random_large.txt,5,1172440,937100,1550000,107799,57192
Insertion Sort,5000,random_large.txt,5,8641120,8622700,8679300,6257449,6252450
Merge Sort,5000,random_large.txt,5,5251220,3530600,7500100,55220,61808
Quick Sort,5000,random_large.txt,5,556480,531300,595700,65652,37303
Selection Sort,5000,random_large.txt,5,15731700,15486500,16108100,12497500,4999
Bubble Sort,1000,random_medium.txt,5,1378440,1338500,1423500,499500,249680
Heap Sort,1000,random_medium.txt,5,137820,111900,162800,16847,9084
Insertion Sort,1000,random_medium.txt,5,359560,353200,367100,250679,249680
Merge Sort,1000,random_medium.txt,5,728060,378800,974600,8698,9976
Quick Sort,1000,random_medium.txt,5,69740,52400,99100,10734,6097
Selection Sort,1000,random_medium.txt,5,829300,569500,1188600,499500,999
Bubble Sort,500,single_value.txt,5,101640,94700,112200,124750,0
Heap Sort,500,single_value.txt,5,25100,13800,59200,1494,499
Insertion Sort,500,single_value.txt,5,2300,2000,2800,499,0
Merge Sort,500,single_value.txt,5,181200,59700,395400,2272,4488
Quick Sort,500,single_value.txt,5,213380,190200,278300,124750,499
Selection Sort,500,single_value.txt,5,151680,143400,167500,124750,499